Ra,Rh,La,Lh,Ma,Mh,Ia,Ih,Oa,Oh,Qa,Qh
61.21048906048907,63.93173893169653,70.31716560816015,66.99965223097115,58.175449087061395,64.97489035087722,65.68706447647783,58.843358108108106,65.70946308724834,60.298571428571435,60.2233798103737,77.17433070866143
54.81993197278916,60.88308326787117,60.981238132911415,66.78591906474824,56.24884057971016,55.1442820247934,49.887463636363634,55.195502248875556,60.91083686568973,68.67000000000003,51.12059183673472,53.51498724489798
58.79602664576804,63.47997402597403,63.13284653465347,69.6906827309237,54.899323651452306,63.58019396551725,60.81442374051072,70.37854991943065,60.57290789959396,49.76041818181821,65.26899671052632,65.19000000000001
54.517820996978855,49.74120521892971,53.9698201798202,58.66134615384618,57.42038378378379,67.49086206896554,55.52417786174087,60.49000000000001,53.53113636363639,60.087412587412615,55.64161764705884,67.3321488764045
53.1357142857143,60.317599660729456,45.636666666666684,60.92541666666668,58.36425000000003,62.31743401759533,59.11629168953115,57.52226744186049,55.90292338709679,43.26250000000002,48.18233766233769,72.07317073170732
70.59222222222223,64.07686206896551,71.59598901098903,65.42803820375337,67.84598684210528,67.6102380952381,64.04786507851728,60.77571646341465,56.103513807531385,62.23696004993758,64.97680320855616,67.82900079617836
56.133970588235314,61.9482142857143,51.505520043336986,57.605000000000004,66.72638378378379,63.08659160305345,62.1675711500975,63.30296610169495,58.92616902457186,61.95946213729654,62.17300000000003,60.74732456140353
71.60305815818353,63.68398989898992,77.89397563676636,78.99612327656126,77.15167734614872,83.46608552631581,74.57332317073174,74.50936070800356,73.6969817470665,68.27598317196868,73.4888695652174,76.90322635135138
71.17212893553226,73.13822010869568,73.57273841059605,80.4354342723005,80.48108399976654,69.86692307692309,73.50684210526316,72.07391397849464,74.21096105812899,65.20457064297801,69.43616085372203,80.73625000000003
53.653771335047935,59.44087925771211,66.8778181818182,60.68521739130438,56.715277621670225,67.51617647058826,62.95982259570496,57.47180755036905,56.8702307692308,62.990281329923306,56.984231481481515,65.69545205479456
53.215528644620406,62.15652066929135,63.42815161671925,55.8537837837838,54.46988650693572,64.154296606001,59.37413139982246,59.75592387968078,49.732777777777784,66.40380522088357,53.05708333333337,62.64857142857146
61.18555555555557,58.85894409937893,70.46226126814365,58.30740476190479,58.133333333333354,60.31742966751921,59.71624299065422,63.32424390447564,61.65803889409561,66.56950000000002,57.868914027149344,65.44500000000004
55.27520852303772,57.223685756240826,62.27256657824938,57.485568535825564,62.35199681020734,54.47574475524476,58.45156656207982,53.81137037640542,56.63002109704641,49.636997126436825,60.42127329192547,67.22000000000001
48.47430882770368,63.21568352059927,57.420921875000005,70.49175000000001,54.54198083778968,60.88638530505142,58.35857911985019,55.58110619469029,51.5567832061069,64.30184859154933,64.00785234899331,58.714769230769235
65.23728991354469,74.41064476885646,61.73100233100233,69.03785245901642,53.375551219512204,64.68772357723577,63.23060267486295,72.56392857142859,66.89942879499218,56.73578616352202,70.60782159017455,75.86413043478262
70.4327768924303,67.99872860635699,64.23894677449692,65.77659090909091,80.28857314870562,72.53248886805719,68.9108041958042,64.43602516442667,66.72022114537447,74.43875000000001,82.3707848101266,77.68200000000002
53.86673433092116,57.88909090909095,69.11101030927837,61.743690476190494,57.31735933983501,68.4632016632017,50.419838709677435,59.234531386861335,54.36682142857143,55.00674825174826,54.422938356164394,66.99773780975221
50.16987043275461,66.65006512937865,57.37723543888433,52.39436894566896,62.95057569332258,52.373407732164225,55.609701297081585,57.9645612292592,47.23247011053465,50.924594330400794,61.98659894259822,59.419869565217425
66.74834538375976,70.8351200657895,77.47105263157897,72.0434984520124,70.74872652218782,69.88805555555558,66.89564452423701,75.07090581797236,64.32414124293787,57.95775864882509,73.65388911049064,81.29301571464208
74.39457649292018,59.3166064757161,76.85223363859728,69.14214076246337,73.52120283018871,63.109587242026265,66.63073529411767,74.07009057971017,75.13561085972853,74.71207422324512,81.86616045512599,88.6421920135939
70.62761601455873,60.73825161290327,76.22133867276891,71.72757631257633,70.0934756097561,69.09664788732394,67.25885690290204,68.52139707376551,70.65519490254874,60.740854231974936,82.33153688524591,66.54078746177372
